id;owner;name;manufacturer;package;pins;smd;quantity;location_id;order_quantity;price;datasheet;comment;category;public;url;image_path;created_at;supplier_id;supplier_reference
"34";"1";"BT137S 600V";"NXP";"TO-263";"3";"Yes";"1";"238";"0";"0.83";"http://www.farnell.com/datasheets/1758082.pdf";"";"1206";"No";"";"img/TO-263.jpg";"2025-07-14 12:40:44";"3";"1757883"
"10";"1";"condensateur 1000uf/100v";"Nichicon";"Radial";"2";"No";"5";"23";"0";"";"";"";"202";"No";"";"img/RADIAL.jpg";"2025-07-06 23:50:17";"5";""
"24";"1";"condensateur 1000uf/100v";"Nichicon";"Radial";"2";"No";"5";"23";"0";"0.00";"";"";"202";"No";"";"img/RADIAL.jpg";"2025-07-14 12:40:44";"5";""
"11";"1";"condensateur 1000uf/63v";"Nichicon";"Radial";"2";"No";"4";"22";"0";"";"";"";"202";"No";"";"img/RADIAL.jpg";"2025-07-06 23:51:06";"3";""
"25";"1";"condensateur 1000uf/63v";"Nichicon";"Radial";"2";"No";"4";"22";"0";"0.00";"";"";"202";"No";"";"img/RADIAL.jpg";"2025-07-14 12:40:44";"3";""
"7";"1";"condensateur 100uf/50v";"Nichicon";"Radial";"2";"No";"10";"4";"0";"";"";"";"202";"No";"";"img/RADIAL.jpg";"2025-07-06 10:07:45";"3";"592-356"
"26";"1";"condensateur 100uf/50v";"Nichicon";"Radial";"2";"No";"10";"4";"0";"0.00";"";"";"202";"No";"";"img/RADIAL.jpg";"2025-07-14 12:40:44";"3";"592-356"
"1";"1";"condensateur 10uf/50v";"Nichicon";"Radial";"2";"No";"3";"";"0";"";"";"";"202";"No";"";"img/RADIAL.jpg";"2025-07-05 23:45:35";"";""
"27";"1";"condensateur 10uf/50v";"Nichicon";"Radial";"2";"No";"3";"";"0";"0.00";"";"";"202";"No";"";"img/RADIAL.jpg";"2025-07-14 12:40:44";"";""
"8";"1";"condensateur 150uf/50v";"Nichicon";"Radial";"2";"No";"3";"21";"0";"";"";"";"202";"No";"";"img/RADIAL.jpg";"2025-07-06 20:04:25";"4";""
"28";"1";"condensateur 150uf/50v";"Nichicon";"Radial";"2";"No";"3";"21";"0";"0.00";"";"";"202";"No";"";"img/RADIAL.jpg";"2025-07-14 12:40:44";"4";""
"33";"1";"Fusible réarmable 18A-30V";"TE  CONNECTIVITY";"RADIAL";"2";"No";"3";"214";"0";"0.82";"http://fr.rs-online.com/web/p/fusibles-a-terminaison-a-fil-rearmables/5176893/?searchTerm=5176893&relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D6265724D504E266C753D656E266D6D3D6D61746368616C6C26706D3D5E5C647B367D247C5E5C647B377D247C5E5C647B31";"Fusible réarmable,18A - 9A, 30 V c.c.";"901";"No";"";"img/component_33_1752489770.jpg";"2025-07-14 12:40:44";"";"fuse"
"6";"1";"IRFB7430PBF";"Infineon";"TO-220";"3";"No";"4";"3";"0";"2.12";"https://www.mouser.fr/datasheet/2/196/Infineon_IRFB7430_DataSheet_v01_01_EN-1732586.pdf";"MOSFET, Canal N, 195 A, 40 V";"1208";"No";"";"img/TO-220.jpg";"2025-07-06 10:04:48";"4";"776-9172"
"29";"1";"IRFB7430PBF";"Infineon";"TO-220";"3";"No";"4";"3";"0";"2.12";"https://www.mouser.fr/datasheet/2/196/Infineon_IRFB7430_DataSheet_v01_01_EN-1732586.pdf";"MOSFET, Canal N, 195 A, 40 V";"1208";"No";"";"img/TO-220.jpg";"2025-07-14 12:40:44";"4";"776-9172"
"13";"1";"L293D";"STMicroelectronics";"DIP-16";"16";"No";"6";"25";"0";"1.20";"";"";"512";"No";"";"img/DIP-16.jpg";"2025-07-07 11:45:25";"3";""
"30";"1";"L293D";"STMicroelectronics";"DIP-16";"16";"No";"6";"25";"0";"1.20";"";"";"512";"No";"";"img/DIP-16.jpg";"2025-07-14 12:40:44";"3";""
"12";"1";"LNK305PN";"POWER INTEGRATIONS";"DIP-8";"8";"No";"15";"24";"0";"";"http://www.farnell.com/datasheets/96901.pdf";"";"512";"No";"";"img/DIP-8.jpg";"2025-07-07 10:57:36";"3";"1448223"
"31";"1";"LNK305PN";"POWER INTEGRATIONS";"DIP-8";"8";"No";"15";"24";"0";"0.00";"http://www.farnell.com/datasheets/96901.pdf";"";"512";"No";"";"img/DIP-8.jpg";"2025-07-14 12:40:44";"3";"1448223"
"3";"1";"resistance 1k";"Murata";"TRAVERSANT";"2";"No";"7";"2";"0";"0.15";"";"";"1301";"No";"";"";"2025-07-06 00:32:12";"";""
"32";"1";"resistance 1k";"Murata";"TRAVERSANT";"2";"No";"7";"2";"0";"0.15";"";"";"1301";"No";"";"";"2025-07-14 12:40:44";"";""
